,count,mean,std,min,p25,median,p75,max,skewness,kurtosis
PE_RATIO,90987.0,58.15127520415004,786.4097547569693,0.8022,14.5661,20.5553,30.29,99365.3846,79.79092438820808,8240.482203368521
PX_TO_SALES_RATIO,92760.0,3.7313595482966795,5.562380084306232,0.0349,1.2908,2.4014,4.517325,391.5683,23.704730485650536,1147.7276152406096
CURRENT_EV_TO_T12M_EBITDA,85589.0,51.17693072824779,1421.7314097548503,0.0371,9.5794,13.3826,19.3789,99214.0111,57.94382010901557,3460.327232155542
PX_TO_FREE_CASH_FLOW,86684.0,99.10123241428637,1170.6372863903587,0.3,13.8987,21.954700000000003,36.479225,127376.2251,55.633764836259424,4555.716508183795
EQY_DVD_YLD_12M,73747.0,2.463440705384626,2.131969182367642,0.0056,1.2007500000000002,2.1045,3.17095,68.5683,7.455575087852505,151.60980595898917
CUR_MKT_CAP,94399.0,54978.85920635493,148424.28926619864,221.9088,10741.244449999998,21381.5065,47387.08594999999,3965594.263,11.273171520491633,175.12850149829114
RETURN_ON_ASSET,97417.0,6.93383564059661,8.896647917350029,-105.2868,2.4303,5.6629,10.5809,129.4297,1.1385794786050394,25.439325571431898
RETURN_COM_EQY,96113.0,29.096892634711224,95.05327007866498,-398.7398,8.7261,15.6639,27.027,1782.8571,10.187998303558661,141.30692632166495
GROSS_MARGIN,78428.0,43.346871624929875,63.029672904965246,-4893.5484,28.0111,42.4691,61.611,161.6415,-54.09973806669133,3716.2901809873733
OPER_MARGIN,98873.0,13.789882797123585,158.110954377719,-18427.9355,9.0385,16.129,25.3895,649.9701,-80.99201528745465,7924.738837020064
TOT_DEBT_TO_TOT_EQY,97703.0,369.1467764367522,5844.557581675036,0.0,36.1992,74.9692,138.1856,557936.0472,81.13467389998328,7330.428984482279
CUR_RATIO,83228.0,1.868615900898736,1.5078402483482767,0.061,1.0388,1.4391500000000002,2.185,22.9892,3.978153887717787,28.06234475215366
BETA_RAW_OVERRIDABLE,93404.0,1.0384322095413472,3.0992931114931985,-845.781,0.6645,1.0074,1.3632,216.9753,-215.28083001200454,60128.631173336216
EARN_YLD,92763.0,4.954813704817654,6.251809182797622,-411.9956,3.1247,4.7648,6.74845,124.6498,-20.32689146962799,1058.975313887307
VOLATILITY_90D,93387.0,28.884174456830184,14.493595140724223,4.77,19.782,25.313,33.4995,288.509,2.9598489255385068,18.96104132748022
VOLUME_AVG_30D,93963.0,1968556.3620449165,8472336.100727197,0.0,343087.85015,723525.3333,1514423.7,354860760.0,17.617989606347212,397.3228281386334
