Model,Holding_Period,Early_IC,Late_IC
Ridge,1,0.054363141644682846,0.07046994764847508
Ridge,2,0.07149936883573901,0.09773916579938877
Ridge,3,0.08659444050290051,0.11644501813446687
Ridge,4,0.08900039070164271,0.12858830165871038
Ridge,5,0.08930021374405357,0.13392604718561796
Ridge,6,0.08860925242580642,0.13918533848599446
Ridge,9,0.09990190720038936,0.15183665130450316
Ridge,12,0.11828395877654962,0.16638986781211207
NN_64_32,1,0.04804472613502088,0.06361624064879663
NN_64_32,2,0.06093392163987324,0.08669254375580927
NN_64_32,3,0.08230168619851778,0.09597463353899624
NN_64_32,4,0.0839876684236215,0.10487907671601934
NN_64_32,5,0.08062044142871334,0.10645973923483126
NN_64_32,6,0.08157570484519679,0.10734554505427965
NN_64_32,9,0.08431559467745435,0.11612698367954981
NN_64_32,12,0.09585003188798905,0.12515859859282538
