Model,Holding_Period,Mean_IC,IC_Std
OLS_FamaMacBeth,1,0.060332803231446124,0.11075928212237945
OLS_FamaMacBeth,2,0.08132868208958591,0.11656746071733863
OLS_FamaMacBeth,3,0.09679533032410446,0.11155249912587592
OLS_FamaMacBeth,4,0.10331013089545492,0.11108483164190786
OLS_FamaMacBeth,5,0.10498090983263925,0.11049438222607887
OLS_FamaMacBeth,6,0.10704386971747608,0.1090645926827863
OLS_FamaMacBeth,9,0.1163131460467772,0.11910728083748309
OLS_FamaMacBeth,12,0.1320873756990657,0.11677748075063198
Ridge,1,0.062461432181013916,0.11872034455554573
Ridge,2,0.08403018707204253,0.12084526188648086
Ridge,3,0.10058689949360639,0.1164000352687457
Ridge,4,0.10707104864854441,0.11483574317137624
Ridge,5,0.10952502856184114,0.11375216031047262
Ridge,6,0.11145534260957504,0.11235978036134715
Ridge,9,0.12205879664627704,0.11980328719099806
Ridge,12,0.13970964088690566,0.11803330845886606
Lasso,1,0.05133561712642928,0.12926583185421933
Lasso,2,0.07191447406298658,0.13716925582928127
Lasso,3,0.0892762576354639,0.13581695000722932
Lasso,4,0.09779662038715169,0.1364547812107233
Lasso,5,0.10006528873006253,0.1377353177371612
Lasso,6,0.10240673440375224,0.1381488986398884
Lasso,9,0.11447364990982449,0.149249688880725
Lasso,12,0.13148966578509408,0.14845127559518692
NN_64_32,1,0.05778673401741656,0.10222912582066752
NN_64_32,2,0.07464339346753222,0.10751903748219836
NN_64_32,3,0.08848450605716081,0.10220971725947105
NN_64_32,4,0.09322614767972957,0.09806922667950597
NN_64_32,5,0.09236979366956796,0.0951452623632367
NN_64_32,6,0.09291988143510249,0.0952150872261443
NN_64_32,9,0.09706992885588692,0.1014088082163236
NN_64_32,12,0.1087732906115809,0.101123489063933
