Factor,Regime,Mean_Coef,Std,t_stat,p_value,Significant
PE_RATIO,ALL,0.000609,0.005997,1.468,0.1435,
PX_TO_SALES_RATIO,ALL,-0.001615,0.008924,-2.616,0.0096,***
CURRENT_EV_TO_T12M_EBITDA,ALL,-0.000203,0.008276,-0.354,0.7234,
PX_TO_FREE_CASH_FLOW,ALL,-0.000869,0.004729,-2.657,0.0085,***
EQY_DVD_YLD_12M,ALL,-0.000127,0.006394,-0.287,0.7745,
CUR_MKT_CAP,ALL,-0.003682,0.00583,-9.132,0.0,***
RETURN_ON_ASSET,ALL,0.000531,0.008928,0.86,0.3908,
RETURN_COM_EQY,ALL,0.000391,0.007382,0.765,0.4449,
GROSS_MARGIN,ALL,0.000999,0.006394,2.258,0.025,**
OPER_MARGIN,ALL,0.002103,0.008204,3.705,0.0003,***
TOT_DEBT_TO_TOT_EQY,ALL,-0.000318,0.007567,-0.608,0.5436,
CUR_RATIO,ALL,-0.000741,0.005981,-1.79,0.0749,*
BETA_RAW_OVERRIDABLE,ALL,0.000213,0.008212,0.374,0.7086,
EARN_YLD,ALL,-0.000611,0.008373,-1.055,0.2926,
VOLATILITY_90D,ALL,0.004672,0.013093,5.158,0.0,***
VOLUME_AVG_30D,ALL,0.002073,0.006438,4.655,0.0,***
MOMENTUM_12_1,ALL,0.001732,0.010054,2.491,0.0135,**
REVERSAL_3M,ALL,-0.001575,0.011543,-1.973,0.0498,**
HIGH_52W_RATIO,ALL,-0.001577,0.013801,-1.652,0.1,*
PE_RATIO,BULL,0.000995,0.005753,1.34,0.1854,
PX_TO_SALES_RATIO,BULL,-0.000595,0.008009,-0.575,0.5674,
CURRENT_EV_TO_T12M_EBITDA,BULL,-0.000402,0.007468,-0.416,0.6786,
PX_TO_FREE_CASH_FLOW,BULL,-0.001102,0.004601,-1.855,0.0685,*
EQY_DVD_YLD_12M,BULL,-0.000945,0.005651,-1.295,0.2004,
CUR_MKT_CAP,BULL,-0.004048,0.006401,-4.898,0.0,***
RETURN_ON_ASSET,BULL,-0.001286,0.007823,-1.273,0.2078,
RETURN_COM_EQY,BULL,0.000794,0.005769,1.066,0.2906,
GROSS_MARGIN,BULL,0.000119,0.006847,0.134,0.8937,
OPER_MARGIN,BULL,0.002988,0.007371,3.14,0.0026,***
TOT_DEBT_TO_TOT_EQY,BULL,6.8e-05,0.004715,0.111,0.9118,
CUR_RATIO,BULL,-0.000315,0.004782,-0.51,0.612,
BETA_RAW_OVERRIDABLE,BULL,0.002408,0.00851,2.192,0.0324,**
EARN_YLD,BULL,0.000586,0.008362,0.543,0.589,
VOLATILITY_90D,BULL,0.003353,0.009335,2.782,0.0072,***
VOLUME_AVG_30D,BULL,0.00225,0.005377,3.241,0.002,***
MOMENTUM_12_1,BULL,0.002173,0.010272,1.639,0.1066,
REVERSAL_3M,BULL,-0.000908,0.010123,-0.695,0.4901,
HIGH_52W_RATIO,BULL,-0.00245,0.012996,-1.46,0.1496,
PE_RATIO,NEUTRAL,0.000516,0.006094,1.028,0.3058,
PX_TO_SALES_RATIO,NEUTRAL,-0.002187,0.009161,-2.894,0.0044,***
CURRENT_EV_TO_T12M_EBITDA,NEUTRAL,2e-06,0.008593,0.002,0.9981,
PX_TO_FREE_CASH_FLOW,NEUTRAL,-0.000683,0.004633,-1.788,0.0758,*
EQY_DVD_YLD_12M,NEUTRAL,0.000358,0.00656,0.661,0.5097,
CUR_MKT_CAP,NEUTRAL,-0.003578,0.005583,-7.77,0.0,***
RETURN_ON_ASSET,NEUTRAL,0.001182,0.009278,1.545,0.1245,
RETURN_COM_EQY,NEUTRAL,0.000229,0.007976,0.348,0.7283,
GROSS_MARGIN,NEUTRAL,0.001264,0.006159,2.488,0.014,**
OPER_MARGIN,NEUTRAL,0.002079,0.007964,3.165,0.0019,***
TOT_DEBT_TO_TOT_EQY,NEUTRAL,-0.000397,0.008482,-0.568,0.5711,
CUR_RATIO,NEUTRAL,-0.000952,0.006439,-1.793,0.075,*
BETA_RAW_OVERRIDABLE,NEUTRAL,-0.000542,0.007787,-0.843,0.4005,
EARN_YLD,NEUTRAL,-0.001063,0.00834,-1.546,0.1244,
VOLATILITY_90D,NEUTRAL,0.005208,0.013577,4.65,0.0,***
VOLUME_AVG_30D,NEUTRAL,0.002001,0.006872,3.53,0.0006,***
MOMENTUM_12_1,NEUTRAL,0.001781,0.009843,2.194,0.0298,**
REVERSAL_3M,NEUTRAL,-0.002212,0.011646,-2.303,0.0227,**
HIGH_52W_RATIO,NEUTRAL,-0.001521,0.013451,-1.371,0.1726,
